,ghi,dhi,dni,temp_air,wind_speed,solar_azimuth,solar_elevation
2021-10-04 16:00:00+02:00,268.598903588459,250.27577143350877,33.057122879663474,21.30000000000001,5.43,219.67818818621015,33.66161640807516
2021-10-04 17:00:00+02:00,106.83274427627717,106.83274427627717,0.0,21.02000000000004,4.57,234.30514417876935,25.72921958331106
2021-10-04 18:00:00+02:00,99.77446194826034,99.77446194826034,0.0,20.52000000000004,3.94,246.75952566825157,16.303365730575887
2021-10-04 19:00:00+02:00,21.59648156988184,21.562805555161184,0.3182391866423614,19.840000000000032,3.53,257.8084340774362,6.0744021730784565
2021-10-04 20:00:00+02:00,0.0,0.0,-0.0,19.210000000000036,3.46,268.21953173270725,-4.784667586351414
2021-10-04 21:00:00+02:00,0.0,0.0,-0.0,18.700000000000045,3.81,278.7393518664901,-15.671462373813343
2021-10-04 22:00:00+02:00,0.0,0.0,-0.0,18.07000000000005,4.39,290.18393075415366,-26.17217397926619
2021-10-04 23:00:00+02:00,0.0,0.0,-0.0,17.390000000000043,4.88,303.5534428029088,-35.84848651186694
2021-10-05 00:00:00+02:00,0.0,0.0,-0.0,16.58000000000004,4.89,320.02832913314273,-43.94406841738716
2021-10-05 01:00:00+02:00,0.0,0.0,-0.0,15.890000000000043,4.62,340.409042009627,-49.35076557132677
2021-10-05 02:00:00+02:00,0.0,0.0,-0.0,15.5,4.03,129.62502975502852,-50.87658488479573
2021-10-05 03:00:00+02:00,0.0,0.0,-0.0,15.160000000000025,3.38,26.27081614561915,-48.08928108855795
2021-10-05 04:00:00+02:00,0.0,0.0,-0.0,14.960000000000036,3.28,45.47469781053872,-41.74614992009039
2021-10-05 05:00:00+02:00,0.0,0.0,-0.0,14.830000000000041,3.58,60.90073509331033,-33.08310759298872
2021-10-05 06:00:00+02:00,0.0,0.0,-0.0,14.680000000000007,4.19,73.58327774823157,-23.105652880580394
2021-10-05 07:00:00+02:00,0.0,0.0,-0.0,14.470000000000027,4.97,84.6697102651723,-12.478979490447763
2021-10-05 08:00:00+02:00,0.0,0.0,-0.0,14.07000000000005,5.72,95.09536828580089,-1.521190193967057
2021-10-05 09:00:00+02:00,133.17744145795163,70.68120159316157,395.52647743070213,14.110000000000014,6.57,105.64270352944263,9.091276475593354
2021-10-05 10:00:00+02:00,427.5349451687467,193.57567346279197,714.4697497645419,15.050000000000011,7.49,117.05571687490006,19.11459589918601
