,zenith,azimuth
2022-01-04 11:00:00+00:00,74.02563531158893,159.3049119997055
2022-01-04 12:00:00+00:00,71.7106445116094,173.5531055342422
2022-01-04 13:00:00+00:00,71.84760197471198,188.0911702808184
2022-01-04 14:00:00+00:00,74.42170168571195,202.27184722103803
2022-01-04 15:00:00+00:00,79.1695860351345,215.5964464163912
2022-01-04 16:00:00+00:00,85.61766468557684,227.87532347700625
2022-01-04 17:00:00+00:00,93.68232488909703,239.21350909387226
2022-01-04 18:00:00+00:00,102.66721217964702,249.92027105160287
2022-01-04 19:00:00+00:00,112.2020582325171,260.4501570398063
2022-01-04 20:00:00+00:00,122.03724983883033,271.4239501508453
2022-01-04 21:00:00+00:00,131.8074324205302,283.75556156661963
2022-01-04 22:00:00+00:00,140.9863711232468,298.9136534864566
2022-01-04 23:00:00+00:00,148.64606920826762,319.1513039403777
