,gpoa,pdc,pac
2020-10-10 00:00:00-07:00,0.0,,
2020-10-10 01:00:00-07:00,0.0,,
2020-10-10 02:00:00-07:00,0.0,,
2020-10-10 03:00:00-07:00,0.0,,
2020-10-10 04:00:00-07:00,0.0,,
2020-10-10 05:00:00-07:00,0.0,,
2020-10-10 06:00:00-07:00,0.0,,
2020-10-10 07:00:00-07:00,90.6718424728938,196.281433274191,165.45256717919136
2020-10-10 08:00:00-07:00,360.074331156412,1021.8304307888098,967.8753498124548
2020-10-10 09:00:00-07:00,626.604695129394,1816.60154159724,1716.0461244113592
2020-10-10 10:00:00-07:00,848.513831583658,2397.7723351201203,2249.767633121878
2020-10-10 11:00:00-07:00,998.307622273763,2745.90454040391,2575.01536782253
2020-10-10 12:00:00-07:00,1071.91766153971,2817.7663112772407,2666.0
2020-10-10 13:00:00-07:00,1066.38900146484,2827.0858067699687,2666.0
2020-10-10 14:00:00-07:00,979.689192708333,2720.70136128921,2586.175254020135
2020-10-10 15:00:00-07:00,800.655135091145,2284.05143593131,2165.8357543943944
2020-10-10 16:00:00-07:00,563.058471679687,1665.70873570376,1558.9428587936163
2020-10-10 17:00:00-07:00,284.963514455159,841.425376454466,781.6542981664286
2020-10-10 18:00:00-07:00,82.3939893895929,202.086590848858,171.20689275059578
2020-10-10 19:00:00-07:00,0.0,,
2020-10-10 20:00:00-07:00,0.0,,
2020-10-10 21:00:00-07:00,0.0,,
2020-10-10 22:00:00-07:00,0.0,,
2020-10-10 23:00:00-07:00,0.0,,
2020-10-11 00:00:00-07:00,0.0,,
2020-10-11 01:00:00-07:00,0.0,,
2020-10-11 02:00:00-07:00,0.0,,
2020-10-11 03:00:00-07:00,0.0,,
2020-10-11 04:00:00-07:00,0.0,,
2020-10-11 05:00:00-07:00,0.0,,
2020-10-11 06:00:00-07:00,0.0,,
2020-10-11 07:00:00-07:00,97.1234684233762,208.974366166388,176.66499573463645
2020-10-11 08:00:00-07:00,364.020559438069,1032.97991952786,974.2946059080724
2020-10-11 09:00:00-07:00,629.832608540852,1833.1184924880001,1735.1074544606836
2020-10-11 10:00:00-07:00,845.151020304362,2406.30152435976,2303.623335626507
2020-10-11 11:00:00-07:00,996.985655721028,2792.0374535871997,2647.537328680238
2020-10-11 12:00:00-07:00,1057.96627807617,2822.5847940064796,2666.0
2020-10-11 13:00:00-07:00,1049.92139994303,2820.637211820907,2666.0
2020-10-11 14:00:00-07:00,953.957283528645,2751.72435896294,2580.197740229178
2020-10-11 15:00:00-07:00,785.637521362304,2328.4186156825203,2183.6562706353798
2020-10-11 16:00:00-07:00,549.769288635253,1670.0038110106198,1568.5714474962854
2020-10-11 17:00:00-07:00,266.620569737752,797.546903048715,743.6205273037478
2020-10-11 18:00:00-07:00,61.9610072948314,141.769442317452,114.7600273534598
2020-10-11 19:00:00-07:00,0.0,,
2020-10-11 20:00:00-07:00,0.0,,
2020-10-11 21:00:00-07:00,0.0,,
2020-10-11 22:00:00-07:00,0.0,,
2020-10-11 23:00:00-07:00,0.0,,
2020-10-12 00:00:00-07:00,0.0,,
2020-10-12 01:00:00-07:00,0.0,,
2020-10-12 02:00:00-07:00,0.0,,
2020-10-12 03:00:00-07:00,0.0,,
2020-10-12 04:00:00-07:00,0.0,,
2020-10-12 05:00:00-07:00,0.0,,
2020-10-12 06:00:00-07:00,0.0,,
2020-10-12 07:00:00-07:00,104.492295348125,225.18286888668104,194.54977207250167
