,ghi,dhi,dni,temp_air,wind_speed,solar_azimuth,solar_elevation
2020-09-20 08:00:00+02:00,24.48247689473918,23.85995666763042,0.0,19.27000000000004,4.41,90.09514784977551,1.5863444214651592
2020-09-20 09:00:00+02:00,110.36479020333084,100.736270024661,45.34416276114388,20.090000000000032,4.5,100.64008079423726,12.259699452356495
2020-09-20 10:00:00+02:00,231.19306386062362,175.00955461356858,146.14455768258313,20.710000000000036,4.62,112.02525410077799,22.608849860402678
2020-09-20 11:00:00+02:00,196.75416421988146,196.75416421988146,0.0,21.30000000000001,4.57,125.14702235087088,32.09813327973042
2020-09-20 12:00:00+02:00,123.94851600868422,123.94851600868422,0.0,22.129999999999995,4.39,140.9769625910609,39.99884618525826
2020-09-20 13:00:00+02:00,522.8468658540407,314.1081518082687,293.5703289548245,22.58000000000004,4.07,160.0942495580758,45.31917029706641
2020-09-20 14:00:00+02:00,280.14013459168115,274.8832267269235,7.1845873929974635,22.80000000000001,3.73,181.62238276722096,47.02846068250203
2020-09-20 15:00:00+02:00,268.55793037890174,264.58936166579235,5.641556796099119,22.57000000000005,3.34,202.91656753521792,44.704680237807224
2020-09-20 16:00:00+02:00,241.27214233926932,241.27214233926932,0.0,22.230000000000018,3.01,221.5273712662914,38.90718606967846
2020-09-20 17:00:00+02:00,311.46466740730074,311.46466740730074,0.0,21.900000000000034,2.69,236.8722921130598,30.694620100790985
2020-09-20 18:00:00+02:00,305.51030016703675,190.92739887169967,319.4424396863536,21.57000000000005,2.41,249.64974876362578,21.02016830805458
2020-09-20 19:00:00+02:00,57.599520002873696,57.599520002873696,0.0,21.060000000000002,2.14,260.83387659702356,10.577015708877946
2020-09-20 20:00:00+02:00,0.0,0.0,-0.0,20.100000000000023,1.62,271.29997618150685,-0.16910919436313254
2020-09-20 21:00:00+02:00,0.0,0.0,-0.0,19.52000000000004,1.57,281.82416550714333,-11.102136164503374
2020-09-20 22:00:00+02:00,0.0,0.0,-0.0,19.340000000000032,1.41,293.18244601421975,-21.44629918600055
2020-09-20 23:00:00+02:00,0.0,0.0,-0.0,19.189999999999998,1.23,306.2378113167804,-30.870281639817687
2020-09-21 00:00:00+02:00,0.0,0.0,-0.0,19.08000000000004,0.93,321.89423956435166,-38.67418112707609
2020-09-21 01:00:00+02:00,0.0,0.0,-0.0,19.160000000000025,0.58,340.64888402933974,-43.90597292174839
2020-09-21 02:00:00+02:00,0.0,0.0,-0.0,19.05000000000001,0.43,151.6450860104954,-45.594163157610744
2020-09-21 03:00:00+02:00,0.0,0.0,-0.0,18.77000000000004,0.58,22.439929549980683,-43.34384410686527
2020-09-21 04:00:00+02:00,0.0,0.0,-0.0,18.49000000000001,0.91,40.754656788802855,-37.67366316382566
2020-09-21 05:00:00+02:00,0.0,0.0,-0.0,18.08000000000004,1.25,55.98745373214853,-29.584754066735158
2020-09-21 06:00:00+02:00,0.0,0.0,-0.0,17.80000000000001,1.52,68.74757548337719,-19.997897323355573
2020-09-21 07:00:00+02:00,0.0,0.0,-0.0,17.700000000000045,1.68,79.94821020334282,-9.57751417104622
2020-09-21 08:00:00+02:00,21.10656384493624,21.10656384493624,0.0,17.730000000000018,1.74,90.43792061951164,1.3816689882636888
2020-09-21 09:00:00+02:00,146.58935408861183,90.51286677788524,268.5989037855262,18.930000000000007,1.6,100.9865827776292,12.050519503819023
2020-09-21 10:00:00+02:00,320.2190528621891,109.03328080057173,554.6665391805478,20.150000000000034,1.36,112.3782869871565,22.379754705008693
2020-09-21 11:00:00+02:00,460.26640144052834,121.75488599850462,641.7281011465273,21.03000000000003,1.27,125.50135644902271,31.836688917284803
2020-09-21 12:00:00+02:00,618.093385710092,103.24418390345085,806.1226111670576,21.930000000000007,1.37,141.30830275479866,39.69298153545103
2020-09-21 13:00:00+02:00,560.9488798199988,223.74782199112641,477.16715705522665,22.310000000000002,1.53,160.3491042104488,44.96484711973214
